OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Morwell	Corner Chapel and Elgin Street	Morwell	VIC	3840	-38.23986	146.39936	-38.23986;146.39936
Centrelink Customer Service Centre	Moree	11 Auburn Street	Moree	NSW	2400	-29.4609	149.83977	-29.4609;149.83977
Centrelink Customer Service Centre	Muswellbrook	164-166 Bridge Street	Muswellbrook	NSW	2333	-32.26028	150.88902	-32.26028;150.88902
Centrelink Customer Service Centre	Maitland	226 High Street	Maitland	NSW	2320	-32.7376	151.5621	-32.7376;151.5621
Centrelink Customer Service Centre	Murray Bridge	8-12 Bridge Street	Murray Bridge	SA	5253	-35.11813	139.27723	-35.11813;139.27723
Centrelink Customer Service Centre	Murwillumbah	107-113 Wollumbin Street	Murwillumbah	NSW	2484	-28.32707	153.39428	-28.32707;153.39428
Centrelink Customer Service Centre	Maryborough	16 Campbell Street	Maryborough	VIC	3465	-37.04631	143.73541	-37.04631;143.73541
Centrelink Customer Service Centre	Nambour	Corner Currie and Maud Street	Nambour	QLD	4560	-26.62841	152.95957	-26.62841;152.95957
Centrelink Customer Service Centre	Narrabri	9 Doyle Street	Narrabri	NSW	2390	-30.32415	149.7836	-30.32415;149.7836
Centrelink Customer Service Centre	Nambucca Heads	13 Bowra Street	Nambucca Heads	NSW	2448	-30.64258	153.00279	-30.64258;153.00279
Centrelink Customer Service Centre	Nelson Bay	18-20 Yacaaba Street	Nelson Bay	NSW	2315	-32.72315	152.14451	-32.72315;152.14451
Centrelink Customer Service Centre	Nerang	37-39 Cotton Street	Nerang	QLD	4211	-27.99081	153.33414	-27.99081;153.33414
Centrelink Customer Service Centre	Corio	Corio Village Shopping Centre Purnell Road	Corio	VIC	3214	-38.07526	144.35551	-38.07526;144.35551
Centrelink Customer Service Centre	Northam	89 Fitzgerald Street	Northam	WA	6401	-31.65133	116.67371	-31.65133;116.67371
Centrelink Customer Service Centre	Newmarket	482-490 Racecourse Road	Flemington	VIC	3031	-37.78771	144.92522	-37.78771;144.92522
Centrelink Customer Service Centre	Noarlunga	9 Alexander Kelly Drive	Noarlunga	SA	5168	-35.13848	138.4988	-35.13848;138.4988
Centrelink Customer Service Centre	Noosa	28 Eenie Creek Road	Noosaville	QLD	4566	-26.41441	153.04841	-26.41441;153.04841
Centrelink Customer Service Centre	Norwood	49 Edward Street	Norwood	SA	5067	-34.92073	138.63423	-34.92073;138.63423
Centrelink Customer Service Centre	Nowra	4 Lawrence Avenue	Nowra	NSW	2541	-34.8773	150.60125	-34.8773;150.60125
Centrelink Customer Service Centre	Newport	433-439 Melbourne Road	Newport	VIC	3015	-37.84136	144.88265	-37.84136;144.88265
Centrelink Customer Service Centre	Narooma	"Shop 34, 185 Princes Highway"	Narooma	NSW	2546	-36.22382	150.12716	-36.22382;150.12716
Centrelink Customer Service Centre	Newcastle	275-279 King Street	Newcastle West	NSW	2300	-32.92869	151.76895	-32.92869;151.76895
Centrelink Customer Service Centre	Normanton	16 Matilda Street	Normanton	QLD	4890	-17.67363	141.07331	-17.67363;141.07331
Centrelink Customer Service Centre	Nhulunbuy	6 Chesterfield Court	Nhulunbuy	NT	880	-12.18544	136.78648	-12.18544;136.78648
Centrelink Customer Service Centre	Nundah	1283-1285 Sandgate Road	Nundah	QLD	4012	-27.40143	153.05974	-27.40143;153.05974
Centrelink Customer Service Centre	Oakleigh	88 Atherton Road	Oakleigh	VIC	3166	-37.8996	145.09429	-37.8996;145.09429
Centrelink Customer Service Centre	Orange	189-191 Anson Street	Orange	NSW	2800	-33.28454	149.09805	-33.28454;149.09805
Centrelink Customer Service Centre	Port Adelaide	72 Lipson Street	Port Adelaide	SA	5015	-34.84703	138.50867	-34.84703;138.50867
Centrelink Customer Service Centre	Palmerston	2 Maluka Street	Palmerston	NT	830	-12.48104	130.98689	-12.48104;130.98689
Centrelink Customer Service Centre	Parramatta	Jessie Street Centre 2-12 Macquarie Street	Parramatta	NSW	2150	-33.81437	151.00061	-33.81437;151.00061
Centrelink Customer Service Centre	Palm Beach	1085-1087 Gold Coast Highway	Palm Beach	QLD	4221	-28.11973	153.47218	-28.11973;153.47218
Centrelink Customer Service Centre	Penrith	598 High Street (Corner Worth Street)	Penrith	NSW	2750	-33.75211	150.6908	-33.75211;150.6908
Centrelink Customer Service Centre	Leichhardt	23 Balmain Road	Leichhardt	NSW	2040	-33.88706	151.15933	-33.88706;151.15933
Centrelink Customer Service Centre	Pakenham	25 Treloar Lane	Pakenham	VIC	3810	-38.07841	145.48349	-38.07841;145.48349
Centrelink Customer Service Centre	Parkes	57-59 Currajong Street	Parkes	NSW	2870	-33.13433	148.17627	-33.13433;148.17627
Centrelink Customer Service Centre	Port Lincoln	8 Edinburgh Street	Port Lincoln	SA	5606	-34.72455	135.8598	-34.72455;135.8598
Centrelink Customer Service Centre	Frankston	20 Davey Street	Frankston	VIC	3199	-38.14651	145.1226	-38.14651;145.1226
Centrelink Customer Service Centre	Portland (VIC)	8-10 Gawler Street	Portland	VIC	3305	-38.35023	141.60513	-38.35023;141.60513
Centrelink Customer Service Centre	Port Pirie	53 Gertrude Street	Port Pirie	SA	5540	-33.17637	138.00701	-33.17637;138.00701
